Sample_ID,C10,i-C11,a-C11,C11,i-C12,C12,i-C13,a-C13,C13,i-C14,C14,i-C15,a-C15,C15,i-C16,C16,i-C17,a-C17,C17,i-C18,C18,MAAT,pH
SNJ 10-2,4.81,0.5,0,0.24,0.18,10.14,3.99,0.65,0.42,1.4,21.14,6.9,2.7,0.6,1.13,17.42,15.09,1.68,0.86,0,10.17,9.5,7.06
SNJ 10-3,5.62,0.95,0.06,0.25,0.17,12.43,4.13,0.59,0.45,1.45,22.23,5.69,2.92,0.7,1.29,17.36,10.14,1.48,0.99,0,11.09,9.6,6.84
SNJ 11-1,0.88,0.29,0.02,0.1,0.06,20.51,2.2,0.19,0.32,0.94,24.44,4.98,2.35,0.41,0.57,16.23,5.81,0.9,0.43,0,18.4,11.9,5.03
SNJ 11-2,6.11,1.07,0,0.23,0,12.01,2.97,0.3,0.42,1.14,25.86,6,2.32,0.56,0.72,15.6,7.35,1,0.56,0,15.77,11.9,4.87
SNJ 11-3,0,0,0,0,0.07,7.83,4.18,0.5,0.59,2.11,27.11,8.24,4.19,1.13,1.38,19.3,9.03,1.67,1.21,0,11.47,12.1,6.83
SNJ 11-4,2.94,0.58,0,0.34,0.07,10.52,4.05,0.48,0.46,1.32,20.25,6.2,2.97,1.02,1.15,18.81,10.24,1.8,1.18,0,15.63,12.1,6.63
SNJ 12-1,4.08,1.22,0,0.32,0.21,10.42,4.71,0.68,0.53,1.53,18.77,8.76,2.98,0.78,1.57,16.98,15.21,1.57,0.98,0,8.71,13.2,7.93
SNJ 12-3,2.07,0.65,0.07,0.24,0.11,14.32,3.19,0.44,0.52,1.24,25.75,5.69,2.82,0.66,0.88,16.95,6.19,1.27,0.66,0,16.29,13.3,6.44
SNJ 13-1,6.21,0.76,0.04,0.31,0.21,11.85,4.44,0.51,0.44,1.37,22.7,6.46,2.26,0.67,1.18,16.67,11.29,1.21,0.9,0,10.5,14.7,7.56
SNJ 13-2,0.76,0.34,0.03,0.13,0.11,10.45,5.98,0.54,0.47,1.36,27.98,5.8,3.33,4.89,0.83,16.33,7.19,0.95,0.7,0,11.83,14.7,6.86
SNJ 13-4,3.54,0.76,0,0.24,0,10.94,3.08,0.34,0.46,1.13,24.01,5.7,2.56,0.65,0.9,17.36,7.15,1,0.76,0,19.43,14.7,5.91
10NJ S-11 ,4.06,1.08,0.1,0.22,0.21,10.57,4.34,0.61,0.48,1.41,14.01,6.91,2.49,0.57,1.83,15.13,20.16,2.44,1.61,0.54,11.24,13.7,7.67
10NJ-S-15NR,2.05,1.02,0.11,0.25,0.28,12.76,4.93,0.75,0.51,1.9,16.37,7.06,2.61,0.62,1.72,15.78,17.84,2.39,1.23,0.36,9.48,13.7,7.7
CD-1,1.14,0.75,0.15,0.75,0.31,9.86,4.76,0.72,0.83,1.8,23.48,7.05,3.31,1.36,1.41,20.53,9.4,1.49,1.14,0.43,9.32,16.1,7.65
CD-2,2.2,0.64,0,0.93,0.6,8.86,4.57,0.94,1.33,1.5,23.41,6.24,3.35,1.1,1.44,21.54,9.12,1.57,1.1,0.22,9.34,16.1,7.38
CGH-1,8.31,1.22,0.1,0.3,0.21,15.04,4.47,0.53,0.52,1.35,15,5.8,1.8,0.46,1.36,11.63,18.18,1.82,0.77,0.26,10.87,5.7,7.57
CGH-2,4.47,1.48,0.18,0.25,0.27,15.86,6.21,0.88,0.62,2.03,18.66,5.22,3.54,0.59,1.62,13.46,12.02,1.61,0.68,0.33,10,5.7,7.99
DDXC-S-1,1.09,0.67,0.07,0.15,0.09,7.24,2.07,0.21,0.72,1.47,22.24,3.01,2.51,0.65,1.44,19.64,11.88,2.01,1.46,0.55,20.83,20.4,8.37
DDXC-S-3,0.1,0.28,0.07,0.12,0.19,7.31,3.57,0.75,1.12,4.42,22.01,6.08,5.75,1.48,2.22,19.7,9.51,3.11,1.33,0.55,10.31,20.4,8.21
DH-1,5.22,1.81,0.25,0.28,0.3,13.49,6.7,1.08,0.64,2.27,16.97,6.12,3.83,0.75,1.53,15.26,11.12,2.07,1,0.38,8.94,7,7.87
DH-2,0.68,0.2,0,0.1,0.22,11.08,6.2,1.26,0.65,3.02,24.25,9.12,5.77,0.57,1.61,12.25,12.71,2,0.66,0.15,7.51,7,8.23
DHS-1,3.55,2.28,0,0.39,0,9.57,2.19,0.32,0,1.83,25.77,6.16,1.77,0.63,0.63,15.81,5.66,0.86,1.11,0,21.46,20.8,3.61
DHS-5,3.02,1.04,0.14,0.34,0.04,8.65,1.12,0.13,0.38,0.93,28.58,5.91,1.27,0.53,0.42,18.36,3.85,0.64,0.62,0.46,23.58,20.8,3.98
DHS-7,2.08,1.01,0.11,0.32,0.07,10.32,1.56,0.17,0.55,1.61,28.86,7.17,1.84,0.76,0.54,15.81,5.1,0.65,0.75,0.26,20.48,20.8,4.18
DY-4,0.76,0.64,0.19,0.37,0.18,15.58,4.56,1.09,1.05,2.63,16.23,5.04,4.3,1.08,1.8,17.92,10.2,2.97,1.53,0.64,11.21,12.6,7.89
DY-A,1.36,0.86,0.11,0.33,0.26,11.78,4.23,0.73,0.7,2,18.11,5.92,4.2,0.95,1.96,16.93,12.77,2.72,1.3,0.5,12.29,12.6,8.25
DYLJ-5,0.47,0.65,0.15,0.31,0.2,15.44,4.41,0.85,0.92,2.22,16.17,5.53,3.46,0.85,1.93,14.44,15.2,4.12,1.17,0.47,11.03,12.6,7.57
HS-S-E,2.71,0.64,0.1,0.56,0.2,8.41,4.66,0.58,0.5,1.54,23.47,5.64,3.28,0.85,2.39,20.46,7.77,1.69,1.38,0.95,12.22,16.5,7.63
JFL-1a,6.26,0.97,0.05,0.36,0,13.43,2.3,0.29,0.55,1.27,31.27,4.58,2.02,0.53,0.66,14.78,4.7,1,0.54,0.21,14.23,16.053,4.69
JFL-3,7.6,1,0,0.28,0.03,9.88,1.08,0.09,0.41,0.91,33.82,2.65,1.59,0.37,0.3,17.03,2.8,0.59,0.46,0.46,18.64,16.9396,4.46
JFL-4b,5.38,1.56,0,0.3,0.1,15.16,1.58,0.08,0.89,0.76,26.42,4.53,1.16,0.47,0.47,17.27,4.02,0.69,0.46,0.53,18.17,17.7146,4.49
JFL-5a,16.04,1.7,0,0.83,0.16,13.87,1.91,0.2,0.76,1.43,31.84,3.77,1.17,0.57,0.51,12.44,2.64,0.53,0.42,0.19,9.04,18.5516,4.18
JFL-6a,0.26,0.15,0,0,0,4.2,1,0.08,0.28,0.6,16.68,3.52,1.55,0.63,0.7,39.85,5.17,1.19,0.83,0,23.31,19.1902,4.4
JFL-7,3.9,0.7,0.04,0.33,0.05,10.51,1.36,0.07,0.45,1.15,27.95,5.6,1.85,0.62,0.95,17.76,4.7,0.82,0.57,0.47,20.15,19.866,4.24
JFL-10a,1.59,0.76,0,0.45,0,9.48,2.52,0,0.73,1.21,27.92,5.85,1.87,1.26,1.24,16.19,6.89,1.23,1.18,0,19.63,21.6826,4.03
JFL-11,1.66,0.59,0.09,0.29,0.16,11.65,3.73,0.29,0.78,1.38,28.57,5.85,2.45,1.03,1.07,16.69,7.07,1.15,1.01,0.24,14.26,22.2716,4.81
JFL-12,2.91,0.66,0,0.49,0,10.61,1.49,0.11,0.52,1.31,27.95,4.42,1.63,0.72,1.06,16.68,5.44,1.08,0.88,0.58,21.46,22.966,4.38
JFL-13,5.11,0.94,0.1,0.5,0.19,12.15,4.54,0.27,0.63,1.1,25.04,4.8,1.81,1.04,1.35,16.07,7.82,1.1,1.36,0.65,13.43,23.5302,5.89
JFL-14,1.68,0.54,0.05,0.33,0.15,8.88,3.15,0.29,0.67,1.11,23.95,5.73,2.25,0.95,1.33,18.77,9.46,1.15,1.28,0.82,17.46,24.2308,6.2
NN-4-1,3.32,1.4,0.11,0.22,0,9.64,1.05,0.14,0.54,1.13,26.52,4.87,1.18,0.58,0,24.49,5.3,0.73,0.64,0,18.14,21.8,4.34
NN-4-2,3.5,1.66,0.11,0,0,10.67,1.11,0.16,0.43,1.24,27.26,4.75,1.1,0.53,0,23.28,5.02,0.73,0.57,0,17.87,21.8,4.34
NN-7,1.8,1.07,0.1,0.16,0.05,8.76,1,0.12,0.52,0.83,23.59,6.8,1.17,0.55,0,20.7,5.35,0.54,1.05,0,25.84,21.8,3.88
PJ-4,0.29,0.47,0.1,0.14,0.23,7.9,4.95,1.31,1.1,3.66,18.87,6.74,5.21,1.18,2,18.63,11.75,3.26,1.35,0.7,10.18,9.5,9.2
TJ-1,0.96,0.54,0.16,0.33,0.31,12.12,4.02,1.21,1.51,4.08,18.59,5.41,6.52,1.42,2.33,17.55,7.69,3.17,1.33,0.62,10.13,12.6,8.67
TJ-3,0,0.13,0.13,0,0,9.32,3.79,0.57,1.32,3.3,24.15,5.49,5.85,1.5,1.76,22.4,7.52,2.76,1.21,0.25,8.56,12.6,8.64
TJ-6,0,0,0,0,0,5.26,3.43,1.12,1.56,3.9,20.67,6,5.25,1.53,1.9,22.18,6.69,2.84,1.81,0.73,15.13,12.6,8.74
TS-3,1.59,0,0,0,0,0,3.15,0.66,0.56,1.45,18.84,6.28,5.2,1.41,1.81,18.3,19.16,2.16,1.33,1.72,16.38,11,7.6
TS-5,1.24,0.29,0,0.13,0.14,7.73,4.52,0.45,0.86,1.66,18.86,5.07,4.17,1.92,1.98,15.74,17.53,2.08,1.13,0,14.49,11,7.53
WH2009-1,3.35,0,0.94,0,0,11.38,0,0,0,0,26.51,6.47,2.8,0.93,0,18.88,8.66,2.69,0,0,17.39,16.6,5.28
WH2009-5-31,1.63,0.64,0.08,0.27,0,8.47,1.82,0.22,0.6,1.08,26.02,5.98,2.33,0.92,1.05,18.34,7.39,1.34,0.97,0.59,20.27,16.6,5.1
XN 1-1,2.18,0.66,0.08,0.13,0,7.43,4.27,0.5,0.71,2.22,15.29,4.49,4.05,1.01,2.02,16.09,17.38,2.83,1.35,0.61,16.7,6.1,8.08
YQSK-1,4.28,0.98,0.12,0.19,0.23,10.52,4.55,0.52,0.47,1.33,16.27,6.72,2.17,0.62,1.8,18.18,16.06,1.7,1.1,0.38,11.79,12.5,7.67
YQSK-2,5.07,1.49,0.21,0.27,0.32,15.34,6.48,0.7,1.08,1.69,20.14,6.72,2.23,1,1.32,14.52,11.68,1.26,0.79,0.26,7.45,12.5,7.83
HSDD-18-1,7.02,0.78,0.07,0.27,0.05,13.92,1.15,0.17,0.35,1.59,28.97,4.99,1.31,0.39,0.82,13.76,3.9,0.87,0.44,0,19.18,17.4,4.24
HSDD-18-2,6.98,1.04,0.05,0.43,0.08,16.3,1.87,0.2,0.58,1.48,29.14,5.08,1.72,0.44,0.9,11.89,6.2,1.28,0.62,0,13.69,17.4,4.94
HSDD-18-3,6.96,1.25,0.05,0.35,0.06,16.98,1.65,0.19,0.43,1.74,28.17,5.6,1.77,0.43,0.74,12.63,5.31,1.04,0.53,0,14.11,17.4,4.29
HSDD-18-4,5.21,0.55,0.05,0.26,0.05,11.72,1.3,0.17,0.39,1.97,25.33,6.11,1.98,0.49,0.88,14.5,7.92,1.66,0.54,0,18.92,17.4,4.3
HSDD-6,4.49,1.13,0.1,0.21,0.2,10.6,4.72,0.5,0.44,1.32,24.41,6.54,2.33,0.57,2.17,17.61,10.55,1.54,0.87,0.4,9.3,17.4,7.08
HSDD-7,5.93,1.3,0.15,0.26,0.25,11.08,5.21,0.58,0.46,1.31,23.66,6.66,2.29,0.67,2.07,17.09,10.38,1.45,0.89,0.34,7.96,17.4,7.2
HSDD-8,4.76,1.23,0.09,0.24,0.23,9.91,4.84,0.53,0.67,1.36,21.31,7.09,2.33,0.86,2.39,17.81,12.5,1.7,0.99,0,9.14,17.4,7.19
HSDD-9,4.76,1.15,0.1,0.24,0.23,10.45,4.88,0.56,0.45,1.32,22.17,6.62,2.46,0.55,2.14,17.5,11.69,1.55,0.86,0.37,9.94,17.4,7.25
HSDD-10,5.25,0.99,0.08,0.24,0.22,10.42,4.57,0.51,0.41,1.15,24.38,6.75,1.99,0.49,1.99,17.4,12.53,1.44,0.75,0.3,8.13,17.4,7
HSDD-11,4.95,0.99,0.11,0.21,0.22,8.87,4.61,0.53,0.46,1.27,22.75,7.5,2.46,0.49,2.07,17.56,11.9,1.51,0.91,0.43,10.2,17.4,7.03
HSDD-12,5.38,0.89,0.09,0.23,0.2,11.78,4.49,0.44,0.38,1.16,28.92,6.61,1.86,0.46,1.51,16.24,10.4,1.04,0.62,0.22,7.07,17.4,6.74
HSDD-13,4.16,1.05,0.17,0.6,0.28,10.37,5.87,0.61,0.52,1.64,24.93,5.4,3.08,0.71,2.48,17.87,6.15,1.77,0.94,1.04,10.35,17.4,7.38
HSDD-C-B ,4.21,1.03,0.11,0.23,0.2,10.68,5.49,0.57,0.4,1.45,24.79,6.34,2.65,0.53,2.37,17.84,9.06,1.41,0.81,0.38,9.47,17.4,7.2
NY-1,1.91,1.1,0.65,0.38,0,7.8,4.97,2.02,0.83,1.7,18.99,7.72,4.64,1.95,1.79,17.82,11.99,1.88,0.95,0,10.91,18.9,7.61
NY-2,4.86,0.76,0.13,0.26,0,10.9,4.25,0.63,0.6,1.37,22.55,7.71,2.96,0.67,1.5,14.86,13.07,1.57,0.85,0,10.5,16.1,7.01
NY-3,2.07,0.47,0.04,0.16,0,8.87,3.99,0.33,1.3,1.32,25.76,6.14,2.61,0.71,1.34,15.52,13.32,1.35,0.75,0,13.96,15.1,7.23
NY-4,3.87,0.51,0,0,0,13.47,5.65,1.4,1.03,2.07,20.13,6.81,3.02,2.32,1.64,12.47,11.79,2.2,1.69,0,9.94,17.4,6.77
NY-6,0.63,0.43,0.06,0.16,0,13.68,7.63,0.79,0.69,1.53,22.98,5.56,3.6,0.57,1.38,13.79,10.89,1.34,0.92,0,13.4,12.4,7.26
NY-7,0.04,0.05,0,0.01,0,9.98,8.02,0.83,0.79,1.82,27.49,7.03,4.01,0.72,1.34,15.19,10.01,1.17,0.57,0,10.95,16.2,7.42
NY-8,0.54,0.22,0,0.08,0,7.16,4.79,0.54,1.09,2.28,21.78,6.59,2.49,4.58,2.22,16.54,12.76,2.19,1.55,0,12.62,18.5,6.61
NY-9,0.09,0.24,0.04,0,0,8.21,5.95,1.06,0.78,1.88,20.15,7.86,4.47,0.93,2.19,21.04,11.81,1.88,1.23,0,10.19,19.2,7.63
NY-10,6.32,1.56,0.29,0.34,0,11.86,6.05,0.96,0.61,1.28,16.27,6.07,2.78,0.83,1.51,16.86,12.84,1.47,1.48,0,10.61,17.2,7.64
NY-11,3.58,1.12,0.34,0.32,0,7.99,4.93,0.58,0.64,1.46,17.48,6.46,3,1.06,1.7,18.03,14.21,1.79,1.06,0,14.24,19,7.66
NY-12,3.4,0.87,0.5,0.43,0,12.5,3.78,0.75,0.93,1.42,23.91,5.62,2.4,1,1.25,16.75,8.83,1.7,1.02,0,12.95,17.9,6.29
NY-13,3.41,0.5,0.08,0.3,0,11.12,3.15,0.28,1.15,1.33,28.07,5.93,2,0.92,1.4,15.39,9.56,1.43,0.69,0,13.3,17.8,6.32
NY-14,8.15,0.77,0.05,0.19,0,13.37,2.68,0.28,0.49,0.97,25.76,5.65,1.67,0.74,0.91,15.28,10.32,1.04,0.83,0,10.87,18.6,5.78
NY-15,2.35,0.5,0.14,0.27,0,10.39,3.43,0.46,0.94,1.46,23.38,6.52,2.85,1.2,1.65,16.03,11.66,2.14,1.38,0,13.26,16.1,6.55
NY-16,4.52,0.75,0.21,0.26,0,11.84,3.57,0.47,0.68,1.27,25.05,6.8,2.65,0.85,1.39,15.67,10.75,1.77,0.84,0,10.67,17,6.37
NY-17,6.12,0.68,0.09,0.35,0,11.48,3.34,0.34,0.82,1.11,24.74,7.06,1.75,0.85,1.14,15.53,12.39,1.39,0.96,0,9.85,16.8,6.35
NY-18,5.57,0.72,0.07,0.23,0,12.28,2.63,0.23,0.6,1.12,26.67,5.84,1.85,0.68,1.19,15.91,10.42,1.3,0.64,0,12.06,17.8,6.03
NY-19,5.97,0.96,0.05,0.32,0,12.54,2.71,0.38,0.78,1.91,27.01,5.53,2.49,0.71,1.4,14.95,7.98,1.49,0.58,0,12.23,17.6,5.27
NY-20,5,0.69,0,0,0,12.5,3.61,0.51,0.79,2.06,24.42,6.2,2.54,1.37,1.3,13.87,9.59,2.28,0.65,0,12.62,16.6,5.86
NY-21,3.95,1.45,0.44,0.39,0,10.95,5.77,0.75,0.72,1.79,20.76,6.4,2.97,1.16,1.69,16.36,11.77,1.78,1.33,0,9.58,19.1,7.49
NY-22,2.92,1.03,0.17,0.31,0,9.72,6.07,0.6,0.59,2.05,19.85,5.58,2.81,2.66,1.83,16.65,11.17,1.49,2.16,0,12.33,18.8,7.64
NY-23,5.48,1.38,0.19,0.52,0,13.63,6.41,0.61,0.89,1.5,21.43,5.4,3.09,0.83,1.51,18.4,9.66,1.27,0.62,0,7.18,16.4,7.47
NY-24,4.24,0.95,0.17,0.49,0,14.16,4.6,0.5,0.39,1.35,14.37,6.32,1.7,1.38,1.68,18.46,16.17,1.49,1.87,0,9.69,17,7.69
NY-26,2.29,0.68,0,0.2,0,7.05,4.2,0.56,0.66,1.47,19.97,5.79,3.38,1.78,1.64,19.73,13.4,1.36,1.72,0,14.11,16.8,7.7
CM001-1,2.93,0.82,0.26,0.94,0.43,8.68,5.53,0.48,0.89,1.42,30.05,8.12,1.75,1.13,1.15,19.81,6.38,0.75,1.07,0,7.4,21.7,6.4
CM001-2,2.01,0.46,0,1.32,0.83,10.19,4.56,0.8,2.12,2.05,28.44,6.99,2.24,1.94,1.55,16.59,6.28,1.01,1.78,0,8.83,21.7,5.37
CA017-1,4.21,1.13,0.25,0.33,0.29,13.54,6.58,1.23,0.55,2.42,19.47,6,4.63,0.7,1.92,15.16,8.37,1.94,0.86,0,10.41,2.4,7.7
CA017-2,3.93,1.06,0.24,0.34,0.31,12.96,6.59,1.25,0.53,2.39,19.51,6.03,4.76,0.69,1.96,15.41,8.57,2.02,0.88,0,10.56,2.4,7.6
CA017-3,0.58,0.32,0.16,0.2,0.26,9.9,8.1,1.69,0.75,4.33,20.78,8.91,8.22,1.07,2.83,15.32,6.53,2.62,0.96,0,6.47,2.4,7.74
CA017-4,0,0,0,0,0,0.9,2.07,0.49,0.4,3.43,20.67,9.76,9.53,1.31,3.87,21.25,10.3,4.11,1.51,0,10.41,2.4,7.76
